neighborhood,ring,vertex,lat,lon
Liberty Park,0,49,-75.1162977537742,39.9258950615043
Liberty Park,0,50,-75.1161997534833,39.926032061907
Liberty Park,0,51,-75.1159277538927,39.9264130618993
Liberty Park,0,52,-75.1158057544949,39.9265840616309
Liberty Park,0,53,-75.115466753988,39.9269700622169
Liberty Park,0,54,-75.115384753426,39.9270470616039
Rosedale,0,0,-75.0737207430843,39.9500680683908
Rosedale,0,1,-75.0734927421501,39.9497610672244
Rosedale,0,2,-75.0734587425039,39.9497150686187
Rosedale,0,3,-75.07339974242,39.9496350684582
Rosedale,0,4,-75.0733647422813,39.9495890675664
Rosedale,0,5,-75.0733327431356,39.9495450676115
Rosedale,0,6,-75.0732977419329,39.9494990685053
Rosedale,0,7,-75.0731357419415,39.9492840683836
Rosedale,0,8,-75.0730537419368,39.9491510677699
Rosedale,0,9,-75.0729947420376,39.9489810675392
Rosedale,0,10,-75.0729097414092,39.9486490670382
Rosedale,0,11,-75.0727117413799,39.9478790680097
Rosedale,0,12,-75.0735407418115,39.9477740677061
Rosedale,0,13,-75.0743897423907,39.9477000675173
Rosedale,0,14,-75.0745267418311,39.9476840675937
Rosedale,0,15,-75.075226742178,39.9475990669255
Rosedale,0,16,-75.0755557428308,39.9475700677773
Rosedale,0,17,-75.0761817427927,39.9475010668308
Rosedale,0,18,-75.0764347424433,39.9491190670675
Rosedale,0,19,-75.078287743552,39.9491730668668
Rosedale,0,20,-75.0792737440044,39.9492450676813
Rosedale,0,21,-75.0804527438383,39.9496390677729
Rosedale,0,22,-75.0817567456617,39.9503450676406
Rosedale,0,23,-75.0831837452076,39.9510430680263
Rosedale,0,24,-75.085290745486,39.9520970683781
Rosedale,0,25,-75.0862707464631,39.9525710677748
Rosedale,0,26,-75.0878237467213,39.9526450673152
Rosedale,0,27,-75.0891997476511,39.9519600679072
Rosedale,0,28,-75.08977274769,39.9516740677009
Rosedale,0,29,-75.0905347470509,39.9512950676054
Rosedale,0,30,-75.0903447470477,39.9514430679611
Rosedale,0,31,-75.0892097466844,39.9523480678112
Rosedale,0,32,-75.0885817478311,39.9528500678919
Rosedale,0,33,-75.0881817468196,39.9531850685512
Rosedale,0,34,-75.0872137475773,39.9541290675646
